user_id,movieID
1221,3463
435,54513
112,1295
1135,8382
1042,7792
631,64273
391,1564
240,4104
452,5189
579,4981
1691,3480
622,6852
338,5240
290,6971
1787,3549
264,1904
891,1385
838,32234
1400,56782
1899,53004
780,60950
1085,4614
1593,7759
189,7239
1059,53993
1686,3216
503,2137
2035,7650
438,6848
677,2799
1154,6529
374,64926
122,25783
405,60735
201,3310
836,1656
966,60147
377,7073
1455,3077
262,65006
512,7563
305,4837
1056,4148
1129,6119
1420,3613
549,5114
676,5554
730,3891
52,32078
989,1688
934,3348
47,3404
446,8639
316,49205
631,6648
144,6464
699,4665
1240,25825
1059,1953
50,3495
1091,46976
1604,7115
455,1137
782,3906
881,7416
348,1199
794,808
87,8983
1331,8575
599,2417
1359,31223
1533,32649
1223,202
304,4061
1379,2516
494,8196
287,52005
417,27839
817,6201
17,62662
393,27362
363,1545
448,33193
363,61742
203,32170
761,64280
142,4399
24,4344
1141,8254
906,33145
452,1883
187,4438
1724,57690
1594,2427
314,1423
136,4971
61,26246
1188,58162
164,8839
1079,1592
