user_id,movieID
98,7141
679,8480
411,4900
1646,27820
1293,54
258,3461
15,49220
792,2579
623,6611
682,1340
1440,5919
1125,3805
115,50583
1234,59256
730,5638
783,858
255,42013
399,2669
484,4503
1457,6166
347,48982
836,1032
13,51088
401,2747
221,6860
1124,6271
188,61312
1122,7237
1086,5731
12,2317
1107,7764
564,6223
333,27317
85,1641
1047,57274
862,48856
1672,31617
320,3010
741,5305
1654,3130
1071,7878
789,64930
1035,2550
240,3087
1119,212
1125,7300
221,58246
713,1130
431,26585
300,2591
920,5619
114,1628
741,7739
1445,6856
848,6304
972,5301
673,968
432,58783
383,8385
1098,30848
111,54997
1867,5467
1370,5295
323,951
960,32335
1088,53956
1713,7167
738,6352
168,729
1503,326
852,2853
328,63121
603,182
690,2958
84,9010
1295,27608
1149,3169
461,34170
695,5880
417,8759
63,48780
1179,755
725,48879
1219,8745
649,25802
74,275
417,6515
147,4952
1490,5226
523,48560
281,30952
413,3378
785,6700
113,3576
1079,43869
126,5173
988,47518
1658,27912
341,6731
713,1683
