,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Internet Movie Database,Rotten Tomatoes,Metacritic,totalSeasons
0,All the Little Animals,1998,R,09 Jul 1999,112 min,"Adventure, Drama, Thriller",Jeremy Thomas,"Eski Thomas (screenplay), Walker Hamilton (book)","John Hurt, Christian Bale, Daniel Benzali, James Faulkner","Bobby Platt (Christian Bale) is a mentally slow young man who escapes an abusive, hateful stepfather who has killed his pets one by one. To save himself, Bobby runs away and meets a strange...",English,UK,3 nominations.,https://m.media-amazon.com/images/M/MV5BOTBlNjVhNzEtODA4MS00YjQ0LTlhZjMtYjY3NTFiYTRlMDM4XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,51,6.9,"2,549",tt0120584,movie,N/A,N/A,N/A,N/A,True,6.9/10,65%,51/100,
0,Earth,2007,G,22 Apr 2009,90 min,Documentary,"Alastair Fothergill, Mark Linfield",Leslie Megahey (narration written by),"Anggun, James Earl Jones, Patrick Stewart, Ulrich Tukur","Feature-length version of the documentary TV series Planet Earth (2006), following the migration paths of four animal families.",English,"UK, Germany, USA",4 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BYWUyNjI0M2ItZGJlNC00YmE2LTk3MTAtMWJhNGU3NzUyNGQ3XkEyXkFqcGdeQXVyMjc1NTg2NTI@._V1_SX300.jpg,72,8.0,"14,081",tt0393597,movie,N/A,N/A,N/A,N/A,True,8.0/10,86%,72/100,
0,Man on Fire,2004,R,23 Apr 2004,146 min,"Action, Crime, Drama, Thriller",Tony Scott,"A.J. Quinnell (novel), Brian Helgeland (screenplay)","Denzel Washington, Dakota Fanning, Radha Mitchell, Christopher Walken","In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.","English, Spanish","USA, UK, Mexico, Switzerland",1 win & 7 nominations.,https://m.media-amazon.com/images/M/MV5BODFlMmEwMDgtYjhmZi00ZTE5LTk2NWQtMWE1Y2M0NjkzOGYxXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,47,7.7,"320,250",tt0328107,movie,N/A,N/A,N/A,N/A,True,7.7/10,39%,47/100,
0,Death in Venice,1971,GP,01 Jun 1971,130 min,Drama,Luchino Visconti,"Thomas Mann (novel), Luchino Visconti (screenplay), Nicola Badalucco (screenplay)","Dirk Bogarde, Romolo Valli, Mark Burns, Nora Ricci","While recovering in Venice, sickly Composer Gustav von Aschenbach becomes dangerously fixated with teenager Tadzio.","English, Italian, Polish, French, Russian, German","Italy, France",Nominated for 1 Oscar. Another 18 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMjEyNjIzYTItZjU2Ni00MjY4LTg0ZTgtMDZiODIwN2UxOWYxXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg,N/A,7.4,"17,832",tt0067445,movie,17 Feb 2004,N/A,WARNER BROTHERS PICTURES,N/A,True,7.4/10,68%,,
0,Marci X,2003,R,22 Aug 2003,84 min,"Comedy, Music",Richard Benjamin,Paul Rudnick,"Lisa Kudrow, Damon Wayans, Richard Benjamin, Jane Krakowski",A Jewish-American Princess is forced to take control of a hard-core hip-hop record label and tries to rein the one of the label's most controversial rappers.,English,"Germany, USA",4 nominations.,https://m.media-amazon.com/images/M/MV5BMTc0MzA1ODg0M15BMl5BanBnXkFtZTYwNzUwNTM3._V1_SX300.jpg,20,2.8,"4,948",tt0266747,movie,N/A,N/A,N/A,N/A,True,2.8/10,8%,20/100,
0,The Medallion,2003,PG-13,22 Aug 2003,88 min,"Action, Comedy, Fantasy",Gordon Chan,"Alfred Cheung (story and original characters), Bennett Davlin, Alfred Cheung, Gordon Chan, Paul Wheeler, Bey Logan","Jackie Chan, Lee Evans, Claire Forlani, Julian Sands",A Hong Kong detective suffers a fatal accident involving a mysterious medallion and is transformed into an immortal warrior with superhuman powers.,English,"Hong Kong, USA",2 nominations.,https://m.media-amazon.com/images/M/MV5BZTAxNmQ4ODAtM2IyMy00Yjg5LTgwNDMtODM4MGQ5MGQzNmU0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,38,5.3,"38,105",tt0288045,movie,N/A,N/A,N/A,N/A,True,5.3/10,17%,38/100,
0,My Boss's Daughter,2003,PG-13,22 Aug 2003,86 min,"Comedy, Romance",David Zucker,David Dorfman,"Mark Aisbett, Ashton Kutcher, Jon Abrahams, Tara Reid","After a man is asked to house sit for his boss, he becomes determined to get closer to the boss's daughter, but events keep unfolding that stop him from achieving his goal.",English,USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BMjE4MjA0MzQ5OV5BMl5BanBnXkFtZTcwNTY3MDAwMQ@@._V1_SX300.jpg,15,4.7,"27,778",tt0270980,movie,N/A,N/A,N/A,N/A,True,4.7/10,8%,15/100,
0,Autumn Spring,2001,PG-13,27 Sep 2001,100 min,"Comedy, Drama, Family",Vladimír Michálek,"Jirí Hubac (story), Jirí Hubac (screenplay)","Vlastimil Brodský, Stella Zázvorková, Stanislav Zindulka, Ondrej Vetchý","Terminal prankster Frantisek Hána refuses to grow up and take certain responsibilities, despite his wife Emilie's constant badgering to do so. Even faced with his own looming death and an ...","Czech, Slovak",Czech Republic,9 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BNTAwMzMzNzU5Nl5BMl5BanBnXkFtZTcwODgwNDAwMQ@@._V1_SX300.jpg,68,7.6,"1,661",tt0286476,movie,02 Dec 2003,N/A,First Look Pictures,N/A,True,7.6/10,97%,68/100,
0,The Battle of Shaker Heights,2003,PG-13,22 Aug 2003,79 min,"Drama, Romance, Comedy","Efram Potelle, Kyle Rankin",Erica Beeney,"Shia LaBeouf, Elden Henson, Amy Smart, Billy Kay","2 high school guys, reenacting historic battles, use the learned strategy and team for war on a school bully. One falls for the other's sister/A.Smart.","English, German",USA,N/A,https://m.media-amazon.com/images/M/MV5BMTQwMzI0Mzk1NF5BMl5BanBnXkFtZTYwMDIzMDk2._V1_SX300.jpg,33,6.0,"4,148",tt0357470,movie,N/A,N/A,N/A,N/A,True,6.0/10,40%,33/100,
0,No News from God,2001,R,30 Nov 2001,112 min,"Crime, Drama",Agustín Díaz Yanes,Agustín Díaz Yanes,"Penélope Cruz, Victoria Abril, Jero García, Gerardo Giacinti","Two angels, one from the heaven and one from the hell, come to earth to save the soul of a boxer.","Spanish, English, French, Latin, Portuguese","Spain, France, Italy, Mexico",4 wins & 18 nominations.,https://m.media-amazon.com/images/M/MV5BMDc1MjE5N2EtZGUyMS00Njk2LWFjNGItYWMxMzRkM2NiMjhlXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,31,6.5,"5,197",tt0284491,movie,N/A,N/A,N/A,N/A,True,6.5/10,38%,31/100,
