,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Internet Movie Database,Rotten Tomatoes,Metacritic,totalSeasons,Season,Episode,seriesID
0,Toy Story,1995,G,22 Nov 1995,81 min,"Animation, Adventure, Comedy, Family, Fantasy",John Lasseter,"John Lasseter (original story by), Pete Docter (original story by), Andrew Stanton (original story by), Joe Ranft (original story by), Joss Whedon (screenplay by), Andrew Stanton (screenplay by), Joel Cohen (screenplay by), Alec Sokolow (screenplay by)","Tom Hanks, Tim Allen, Don Rickles, Jim Varney",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,English,USA,Nominated for 3 Oscars. Another 27 wins & 20 nominations.,https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_SX300.jpg,95,8.3,"852,896",tt0114709,movie,N/A,N/A,N/A,N/A,True,8.3/10,100%,95/100,,,,
0,Jumanji,1995,PG,15 Dec 1995,104 min,"Adventure, Comedy, Family, Fantasy",Joe Johnston,"Jonathan Hensleigh (screenplay by), Greg Taylor (screenplay by), Jim Strain (screenplay by), Greg Taylor (screen story by), Jim Strain (screen story by), Chris Van Allsburg (screen story by), Chris Van Allsburg (based on the book by)","Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce","When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game.","English, French",USA,4 wins & 11 nominations.,https://m.media-amazon.com/images/M/MV5BZTk2ZmUwYmEtNTcwZS00YmMyLWFkYjMtNTRmZDA3YWExMjc2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,39,7.0,"294,340",tt0113497,movie,N/A,N/A,N/A,N/A,True,7.0/10,54%,39/100,,,,
0,Grumpy Old Men,1993,PG-13,25 Dec 1993,103 min,"Comedy, Drama, Romance",Donald Petrie,Mark Steven Johnson,"Jack Lemmon, Walter Matthau, Ann-Margret, Burgess Meredith",A lifelong feud between two neighbors since childhood only gets worse when a new female neighbor moves across the street.,English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMzNiYzQyNGEtYjFiOS00OTcyLTg5YzItMDQ2ZGRmZjE1N2Y4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,53,7.0,"41,401",tt0107050,movie,N/A,N/A,N/A,N/A,True,7.0/10,63%,53/100,,,,
0,Waiting to Exhale,1995,R,22 Dec 1995,124 min,"Comedy, Drama, Romance",Forest Whitaker,"Terry McMillan (novel), Terry McMillan (screenplay), Ronald Bass (screenplay)","Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon","Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.",English,USA,9 wins & 10 nominations.,https://m.media-amazon.com/images/M/MV5BYzcyMDY2YWQtYWJhYy00OGQ2LTk4NzktYWJkNDYwZWJmY2RjXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,N/A,5.9,"9,222",tt0114885,movie,N/A,N/A,N/A,N/A,True,5.9/10,56%,,,,,
0,Father of the Bride Part II,1995,PG,08 Dec 1995,106 min,"Comedy, Family, Romance",Charles Shyer,"Albert Hackett (screenplay ""Father's Little Dividend""), Frances Goodrich (screenplay ""Father's Little Dividend""), Nancy Meyers (screenplay), Charles Shyer (screenplay)","Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley","George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.",English,USA,Nominated for 1 Golden Globe. Another 1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BOTEyNzg5NjYtNDU4OS00MWYxLWJhMTItYWU4NTkyNDBmM2Y0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,49,6.0,"33,005",tt0113041,movie,N/A,N/A,N/A,N/A,True,6.0/10,48%,49/100,,,,
0,Heat,1995,R,15 Dec 1995,170 min,"Crime, Drama, Thriller",Michael Mann,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,"English, Spanish",USA,14 nominations.,https://m.media-amazon.com/images/M/MV5BMDJjNWE5MTEtMDk2Mi00ZjczLWIwYjAtNzM2ZTdhNzcwOGZjXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_SX300.jpg,76,8.2,"555,104",tt0113277,movie,N/A,N/A,N/A,N/A,True,8.2/10,86%,76/100,,,,
0,Sabrina,1954,Passed,15 Oct 1954,113 min,"Comedy, Drama, Romance",Billy Wilder,"Billy Wilder (written for the screen by), Samuel A. Taylor (written for the screen by), Ernest Lehman (written for the screen by), Samuel A. Taylor (from the play by)","Humphrey Bogart, Audrey Hepburn, William Holden, Walter Hampden","A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.","English, French",USA,Won 1 Oscar. Another 5 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BYmFlNTA1NWItODQxNC00YjFmLWE3ZWYtMzg3YTkwYmMxMjY2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,72,7.7,"56,749",tt0047437,movie,N/A,N/A,N/A,N/A,True,7.7/10,92%,72/100,,,,
0,Tom and Huck,1995,PG,22 Dec 1995,97 min,"Adventure, Comedy, Drama, Family, Romance, Western",Peter Hewitt,"Mark Twain (novel), Stephen Sommers (screenplay), David Loughery (screenplay)","Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket",Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,English,USA,1 win & 5 nominations.,https://m.media-amazon.com/images/M/MV5BN2ZkZTMxOTAtMzg1Mi00M2U0LWE2NWItZDg4YmQyZjVkMDdhXkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_SX300.jpg,N/A,5.5,"9,519",tt0112302,movie,N/A,N/A,N/A,N/A,True,5.5/10,25%,,,,,
0,Sudden Death,1995,R,22 Dec 1995,111 min,"Action, Crime, Thriller",Peter Hyams,"Karen Elise Baldwin (story), Gene Quintano (screenplay)","Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright",A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BN2NjYWE5NjMtODlmZC00MjJhLWFkZTktYTJlZTI4YjVkMGNmXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg,N/A,5.8,"31,230",tt0114576,movie,N/A,N/A,N/A,N/A,True,5.8/10,51%,,,,,
0,GoldenEye,1995,PG-13,17 Nov 1995,130 min,"Action, Adventure, Thriller",Martin Campbell,"Ian Fleming (characters), Michael France (story), Jeffrey Caine (screenplay), Bruce Feirstein (screenplay)","Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen","Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as ""GoldenEye"" is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon.","English, Russian, Spanish","UK, USA",Nominated for 2 BAFTA Film Awards. Another 2 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMzk2OTg4MTk1NF5BMl5BanBnXkFtZTcwNjExNTgzNA@@._V1_SX300.jpg,65,7.2,"231,964",tt0113189,movie,N/A,N/A,N/A,N/A,True,7.2/10,78%,65/100,,,,
0,The American President,1995,PG-13,17 Nov 1995,114 min,"Comedy, Drama, Romance",Rob Reiner,Aaron Sorkin,"Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox","A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway.","English, French, Spanish",USA,Nominated for 1 Oscar. Another 1 win & 9 nominations.,https://m.media-amazon.com/images/M/MV5BNjhkMmU0M2YtZDUwYi00OWE0LWI5NTktODBjNDc1M2ZlMjI4XkEyXkFqcGdeQXVyNDAxNjkxNjQ@._V1_SX300.jpg,67,6.8,"50,016",tt0112346,movie,N/A,N/A,N/A,N/A,True,6.8/10,91%,67/100,,,,
