,Actors,Awards,BoxOffice,Country,DVD,Director,Episode,Genre,Internet Movie Database,Language,Metacritic,Metascore,Plot,Poster,Production,Rated,Released,Response,Rotten Tomatoes,Runtime,Season,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,seriesID,totalSeasons
0,"Meryl Streep, Kurt Russell, Cher, Craig T. Nelson",Nominated for 5 Oscars. Another 2 wins & 13 nominations.,N/A,USA,N/A,Mike Nichols,,"Biography, Drama, History, Thriller",7.2/10,English,64/100,64,"A worker at a plutonium processing plant is purposefully contaminated, psychologically tortured and possibly murdered to prevent her from exposing worker safety violations at the plant.",https://m.media-amazon.com/images/M/MV5BMGQ0N2U0YzMtNWIxYi00NWVhLWI3OTYtNTE5YjU0YTQwMGYxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,R,27 Jan 1984,True,74%,131 min,,Silkwood,movie,N/A,"Nora Ephron, Alice Arlen",1983,tt0086312,7.2,"17,665",,
0,"Kathleen Quinlan, Bibi Andersson, Ben Piazza, Lorraine Gary",Nominated for 1 Oscar. Another 3 nominations.,N/A,USA,N/A,Anthony Page,,"Drama, Fantasy",6.5/10,English,,N/A,"A disturbed,institutionalized 16-year-old girl struggles between fantasy and reality.",https://m.media-amazon.com/images/M/MV5BZjE0OWUyMjYtOTQ4ZC00NzM0LTk3NjktOWE0YmI2OWYxM2JhXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg,N/A,R,29 Oct 1977,True,,96 min,,I Never Promised You a Rose Garden,movie,N/A,"Joanne Greenberg (novel), Gavin Lambert (screenplay), Lewis John Carlino (screenplay)",1977,tt0076172,6.5,"1,051",,
0,"Phil Daniels, Leslie Ash, Phil Davis, Mark Wingett",N/A,N/A,UK,N/A,Franc Roddam,,"Drama, Music",7.3/10,English,79/100,79,"Jimmy loathes his job and parents. He seeks solace with his mod clique, scooter riding and drugs, only to be disappointed.",https://m.media-amazon.com/images/M/MV5BN2NkYjllZGMtOGUxMy00N2VlLTg5NTUtNzY3N2QzNjVkNjhkXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_SX300.jpg,N/A,R,02 Nov 1979,True,100%,120 min,,Quadrophenia,movie,N/A,"Dave Humphries (screenplay), Martin Stellman (screenplay), Franc Roddam (screenplay)",1979,tt0079766,7.3,"16,491",,
0,"Kate Capshaw, Lea Thompson, Kelly Preston, Larry B. Scott",1 nomination.,N/A,USA,N/A,Harry Winer,,"Adventure, Family, Sci-Fi",5.7/10,English,40/100,40,The young attendees of a space camp find themselves in space for real when their shuttle is accidentally launched into orbit.,https://m.media-amazon.com/images/M/MV5BNWNjZTlkMWYtNDE4ZC00ODkzLWJiZGYtODJiYjY0YzY5NmVkXkEyXkFqcGdeQXVyNzEyNjE5NzM@._V1_SX300.jpg,N/A,PG,06 Jun 1986,True,45%,107 min,,SpaceCamp,movie,N/A,"Clifford Green (screenplay), Casey T. Mitchell (screenplay), Patrick Bailey (story), Larry B. Williams (story)",1986,tt0091993,5.7,"12,634",,
0,"Richard Derr, Barbara Rush, Peter Hansen, John Hoyt",Won 1 Oscar. Another 1 nomination.,N/A,USA,N/A,Rudolph Maté,,"Action, Sci-Fi, Thriller",6.7/10,"English, French, Portuguese, Spanish",,N/A,"As a new star and planet hurtle toward a doomed Earth, a small group of survivalists frantically work to complete the rocket which will take them to their new home.",https://m.media-amazon.com/images/M/MV5BNDE2MGEwZDMtNGU3OC00NTA5LWJkMmQtMTg0ODlkM2Y0YTFhL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,N/A,Approved,15 Nov 1951,True,78%,83 min,,When Worlds Collide,movie,N/A,"Sydney Boehm (screenplay), Edwin Balmer (novel), Philip Wylie (novel)",1951,tt0044207,6.7,"6,870",,
0,"Michael Douglas, Sean Bean, Brittany Murphy, Skye McCole Bartusiak",1 nomination.,N/A,"USA, Australia, Switzerland, Canada",N/A,Gary Fleder,,"Drama, Mystery, Thriller",6.3/10,"English, Italian, Chinese",38/100,38,"When the daughter of a psychiatrist is kidnapped, he's horrified to discover that the abductors' demand is that he break through to a post traumatic stress disorder suffering young woman who knows a secret...",https://m.media-amazon.com/images/M/MV5BNzM1OThlODItMTI5NC00ZDE1LWE4MzQtOTJiNDQ5NDAxZTBkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,R,28 Sep 2001,True,24%,113 min,,Don't Say a Word,movie,N/A,"Andrew Klavan (novel), Anthony Peckham (screenplay), Patrick Smith Kelly (screenplay)",2001,tt0260866,6.3,"47,516",,
0,"Anthony Hopkins, Anton Yelchin, Hope Davis, Mika Boorem",2 wins & 8 nominations.,N/A,USA,N/A,Scott Hicks,,"Drama, Mystery",6.9/10,English,55/100,55,Widowed Liz Garfield and her son Bobby change when mysterious stranger Ted Brautigan enters their lives.,https://m.media-amazon.com/images/M/MV5BNjFjNWNmYWUtZTFlMi00ZDcxLWJkY2MtNjMwYmM0OTc5OTM1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,PG-13,28 Sep 2001,True,49%,101 min,,Hearts in Atlantis,movie,N/A,"Stephen King (book), William Goldman (screenplay)",2001,tt0252501,6.9,"35,148",,
0,"Ben Stiller, Owen Wilson, Christine Taylor, Will Ferrell",1 win & 11 nominations.,N/A,"Germany, USA",N/A,Ben Stiller,,Comedy,6.5/10,English,61/100,61,"At the end of his career, a clueless fashion model is brainwashed to kill the Prime Minister of Malaysia.",https://m.media-amazon.com/images/M/MV5BODI4NDY2NDM5M15BMl5BanBnXkFtZTgwNzEwOTMxMDE@._V1_SX300.jpg,N/A,PG-13,28 Sep 2001,True,64%,90 min,,Zoolander,movie,N/A,"Drake Sather (character Derek Zoolander), Ben Stiller (character Derek Zoolander), Drake Sather (story), Ben Stiller (story), Drake Sather (screenplay), Ben Stiller (screenplay), John Hamburg (screenplay)",2001,tt0196229,6.5,"239,637",,
0,"Craig Ferguson, Ian Hart, Jane Horrocks, Adrian Lester",N/A,N/A,UK,N/A,David Kane,,"Comedy, Romance",6.4/10,English,68/100,68,Three young men pursue three beautiful women across London.,https://m.media-amazon.com/images/M/MV5BMTk5ODUxMjIzNV5BMl5BanBnXkFtZTcwMDI1MTMyMQ@@._V1_SX300.jpg,N/A,R,09 Mar 2001,True,58%,96 min,,Born Romantic,movie,N/A,David Kane,2000,tt0236034,6.4,"1,474",,
0,"Dante Basco, Ryan Browning, A.J. Buckley, Derek Hamilton",N/A,N/A,USA,N/A,Eric Hannah,,"Action, Adventure, Comedy, Drama, Romance, Sport",5.9/10,English,17/100,17,"As four lifelong friends, Will, Bryan, Matt, and Corey, are on the road trip they've been planning their whole lives, Corey's beloved grandfather unexpectedly dies. When going to claim ...",https://m.media-amazon.com/images/M/MV5BMjExNTcwOTc3NV5BMl5BanBnXkFtZTYwMzY1OTI5._V1_SX300.jpg,N/A,PG,28 Sep 2001,True,43%,93 min,,Extremedays,movie,N/A,"Eric Hannah, Craig Detweiler",2001,tt0245891,5.9,"1,173",,
