,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Internet Movie Database,Rotten Tomatoes,Metacritic,totalSeasons
0,Baghead,2008,R,22 Jan 2008,84 min,"Comedy, Drama, Horror, Romance","Jay Duplass, Mark Duplass","Jay Duplass, Mark Duplass, John E. Bryant (creator ""We Are Naked"")","Steve Zissis, Ross Partridge, Greta Gerwig, Elise Muller","4 ""actors"" go to a cabin in the woods for the weekend to write a movie script. They talk about a relationship movie or a paper bag over the head movie. It starts with an anonymous baghead and slowly escalates.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTI2MzU1MzI3Ml5BMl5BanBnXkFtZTcwOTI5NDA3MQ@@._V1_SX300.jpg,62,6.0,"4,132",tt0923600,movie,27 Dec 2008,N/A,Sony Pictures Classics,N/A,True,6.0/10,78%,62/100,
0,The Children of Huang Shi,2008,R,13 Jun 2008,125 min,"Drama, War",Roger Spottiswoode,"Jane Hawksley, James MacManus","Jonathan Rhys Meyers, Radha Mitchell, Yun-Fat Chow, Michelle Yeoh","About young British journalist, George Hogg, who with the assistance of a courageous Australian nurse, saves a group of orphaned children during the Japanese occupation of China in 1937.","English, Japanese, Mandarin","Australia, China, Germany, USA",1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMTM2MTM3MjM4NV5BMl5BanBnXkFtZTcwNDI1MzA3MQ@@._V1_SX300.jpg,49,7.0,"9,091",tt0889588,movie,N/A,N/A,N/A,N/A,True,7.0/10,31%,49/100,
0,WALL·E,2008,G,27 Jun 2008,98 min,"Animation, Adventure, Family, Sci-Fi",Andrew Stanton,"Andrew Stanton (original story by), Pete Docter (original story by), Andrew Stanton (screenplay by), Jim Reardon (screenplay by)","Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",English,USA,Won 1 Oscar. Another 91 wins & 93 nominations.,https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_SX300.jpg,95,8.4,"963,538",tt0910970,movie,N/A,N/A,N/A,N/A,True,8.4/10,95%,95/100,
0,Wanted,2008,R,27 Jun 2008,110 min,"Action, Crime, Fantasy, Thriller",Timur Bekmambetov,"Michael Brandt (screenplay), Derek Haas (screenplay), Chris Morgan (screenplay), Michael Brandt (story), Derek Haas (story), Mark Millar (comic book series), J.G. Jones (comic book series)","James McAvoy, Morgan Freeman, Angelina Jolie, Terence Stamp",A frustrated office worker learns that he is the son of a professional assassin and that he shares his father's superhuman killing abilities.,English,"USA, Germany",Nominated for 2 Oscars. Another 4 wins & 20 nominations.,https://m.media-amazon.com/images/M/MV5BMTQwNDM2MTMwMl5BMl5BanBnXkFtZTgwMjE4NjQxMTE@._V1_SX300.jpg,64,6.7,"352,047",tt0493464,movie,N/A,N/A,N/A,N/A,True,6.7/10,71%,64/100,
0,Hancock,2008,PG-13,02 Jul 2008,92 min,"Action, Fantasy",Peter Berg,"Vy Vincent Ngo, Vince Gilligan","Will Smith, Charlize Theron, Jason Bateman, Jae Head",Hancock is a superhero whose ill-considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.,"Vietnamese, English, Japanese",USA,4 wins & 12 nominations.,https://m.media-amazon.com/images/M/MV5BMTgyMzc4ODU3NV5BMl5BanBnXkFtZTcwNjk5Mzc1MQ@@._V1_SX300.jpg,49,6.4,"433,169",tt0448157,movie,N/A,N/A,N/A,N/A,True,6.4/10,41%,49/100,
0,Get Smart,2008,PG-13,20 Jun 2008,110 min,"Action, Adventure, Comedy",Peter Segal,"Tom J. Astle, Matt Ember, Mel Brooks (characters), Buck Henry (characters)","Steve Carell, Anne Hathaway, Dwayne Johnson, Alan Arkin","Maxwell Smart, a highly intellectual but bumbling spy working for the CONTROL agency, is tasked with preventing a terrorist attack from rival spy agency KAOS.","English, Russian, Punjabi, Arabic",USA,3 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMTY0NzQ4MDU0NV5BMl5BanBnXkFtZTcwMzA2NzQ2MQ@@._V1_SX300.jpg,54,6.5,"198,120",tt0425061,movie,N/A,N/A,N/A,N/A,True,6.5/10,50%,54/100,
0,Brick Lane,2007,PG-13,11 Jul 2008,102 min,Drama,Sarah Gavron,"Monica Ali (novel), Laura Jones, Abi Morgan","Tannishtha Chatterjee, Satish Kaushik, Christopher Simpson, Naeema Begum","A young Bangladeshi woman, Nazneen, arrives in 1980s London, leaving behind her beloved sister and home, for an arranged marriage and a new life. Trapped within the four walls of her flat ...","English, Bengali","UK, India",3 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BMjE3ODg0NTQ0NV5BMl5BanBnXkFtZTcwODM3NTM2MQ@@._V1_SX300.jpg,61,6.6,"2,854",tt0940585,movie,N/A,N/A,N/A,N/A,True,6.6/10,68%,61/100,
0,Surfwise,2007,R,09 May 2008,93 min,"Documentary, Sport",Doug Pray,Doug Pray,"Juliette Paskowitz, David Paskowitz, Jonathan Paskowitz, Abraham Paskowitz","Doug Pray explores the life of surfer Dorian ""Doc"" Paskowitz.",English,USA,3 nominations.,https://m.media-amazon.com/images/M/MV5BODQxNDQwNTg5Ml5BMl5BanBnXkFtZTcwNDEyODU2MQ@@._V1_SX300.jpg,72,7.2,"1,403",tt0479547,movie,N/A,N/A,N/A,N/A,True,7.2/10,98%,72/100,
0,The Rape of Europa,2006,Unrated,12 Nov 2006,117 min,"Documentary, History, War","Richard Berge, Bonni Cohen, Nicole Newnham","Richard Berge, Bonni Cohen, Jon Else (additional writer), Nicole Newnham, Lynn Nicholas (book)","Joan Allen, E. Randol Schoenberg, Maria Altmann, Wolfgang Fischer",The story of Nazi Germany's plundering of Europe's great works of art during World War II and Allied efforts to minimize the damage.,"English, Russian, Polish, German, French, Italian",USA,3 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMTk0MDYyMzkyNl5BMl5BanBnXkFtZTcwODkxMzU1MQ@@._V1_SX300.jpg,77,7.7,"1,374",tt0997088,movie,24 Jul 2007,N/A,N/A,N/A,True,7.7/10,,77/100,
0,St. Trinian's,2007,PG-13,21 Dec 2007,97 min,"Comedy, Family","Oliver Parker, Barnaby Thompson","Piers Ashworth (screenplay), Jamie Minoprio (additional material), Nick Moorcroft (screenplay), Ronald Searle (cartoons), Jonathan M. Stern (additional material)","Talulah Riley, Rupert Everett, Jodie Whittaker, Gemma Arterton","In order to save their bankrupt school, a group of troublesome girls stage a robbery with a group of geniuses on their backs",English,UK,5 nominations.,https://m.media-amazon.com/images/M/MV5BMTg5MjIwMzgwNF5BMl5BanBnXkFtZTcwOTg3NzI3Mg@@._V1_SX300.jpg,39,5.8,"20,944",tt0964587,movie,N/A,N/A,N/A,N/A,True,5.8/10,31%,39/100,
