,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Internet Movie Database,Rotten Tomatoes,Metacritic,totalSeasons,Season,Episode,seriesID
0,Munich,2005,R,06 Jan 2006,164 min,"Action, Drama, History, Thriller",Steven Spielberg,"Tony Kushner (screenplay), Eric Roth (screenplay), George Jonas (book)","Eric Bana, Daniel Craig, Ciarán Hinds, Mathieu Kassovitz","Based on the true story of the Black September aftermath, about the five men chosen to eliminate the ones responsible for that fateful day.","English, German, French, Hebrew, Arabic, Italian, Greek, Russian, Dutch","France, Canada, USA",Nominated for 5 Oscars. Another 14 wins & 69 nominations.,https://m.media-amazon.com/images/M/MV5BMTcwNzYzMzMwMF5BMl5BanBnXkFtZTcwMzMzODczMQ@@._V1_SX300.jpg,74,7.5,"205,617",tt0408306,movie,N/A,N/A,N/A,N/A,True,7.5/10,78%,74/100,,,,
0,The Producers,2005,PG-13,25 Dec 2005,134 min,"Comedy, Musical",Susan Stroman,"Mel Brooks (screenplay), Thomas Meehan (screenplay), Mel Brooks, Mel Brooks, Thomas Meehan, Mel Brooks","Nathan Lane, Matthew Broderick, Uma Thurman, Will Ferrell","After putting together another Broadway flop, down-on-his-luck Producer Max Bialystock teams up with timid accountant Leo Bloom in a get-rich-quick scheme to put on the world's worst show.",English,USA,Nominated for 4 Golden Globes. Another 1 win & 13 nominations.,https://m.media-amazon.com/images/M/MV5BMjA3NjAyNzg2OF5BMl5BanBnXkFtZTcwOTIyMDUzMQ@@._V1_SX300.jpg,52,6.3,"39,731",tt0395251,movie,N/A,N/A,N/A,N/A,True,6.3/10,50%,52/100,,,,
0,Transamerica,2005,R,03 Mar 2006,103 min,"Adventure, Comedy, Drama",Duncan Tucker,Duncan Tucker,"Andrea James, Felicity Huffman, Danny Burstein, Maurice Orozco","A preoperative transgender woman takes an unexpected journey when she learns that she fathered a son, now a teenage runaway hustling on the streets of New York.","English, Spanish",USA,Nominated for 2 Oscars. Another 32 wins & 24 nominations.,https://m.media-amazon.com/images/M/MV5BMTQwMjExNzkzMV5BMl5BanBnXkFtZTcwMjczNjEzMQ@@._V1_SX300.jpg,66,7.4,"39,679",tt0407265,movie,N/A,N/A,N/A,N/A,True,7.4/10,77%,66/100,,,,
0,Rumor Has It...,2005,PG-13,25 Dec 2005,97 min,"Comedy, Drama, Romance",Rob Reiner,Ted Griffin,"Jennifer Aniston, Kevin Costner, Shirley MacLaine, Mark Ruffalo","Sarah Huttinger is a woman who learns that her family was the inspiration for the book and film ""The Graduate"" -- and that she just might be the offspring of the well-documented event.","English, Spanish","USA, Germany, Australia",N/A,https://m.media-amazon.com/images/M/MV5BOTg3Njk2NTIxNF5BMl5BanBnXkFtZTcwNTc4MTEzMw@@._V1_SX300.jpg,35,5.5,"51,634",tt0398375,movie,N/A,N/A,N/A,N/A,True,5.5/10,19%,35/100,,,,
0,Cheaper by the Dozen 2,2005,PG,21 Dec 2005,94 min,"Adventure, Comedy, Family",Adam Shankman,"Sam Harper, Craig Titley (characters), Frank B. Gilbreth Jr. (novel), Ernestine Gilbreth Carey (novel)","Steve Martin, Eugene Levy, Bonnie Hunt, Tom Welling","The Bakers, while on vacation, find themselves competing with a rival family of eight children.",English,"USA, Canada",1 win & 5 nominations.,https://m.media-amazon.com/images/M/MV5BOWFhMjQ5ZDgtZTUwZC00Mjg0LTk1OGYtYTA2ZDMxZmE4ZjYzXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,34,5.5,"53,086",tt0452598,movie,N/A,N/A,N/A,N/A,True,5.5/10,6%,34/100,,,,
0,Fun with Dick and Jane,2005,PG-13,21 Dec 2005,90 min,"Comedy, Crime",Dean Parisot,"Judd Apatow (screenplay), Nicholas Stoller (screenplay), Gerald Gaiser (story), Judd Apatow (story), Nicholas Stoller (story), Gerald Gaiser (novel), David Giler, Jerry Belson, Mordecai Richler","Jim Carrey, Téa Leoni, Alec Baldwin, Richard Jenkins","When an affluent couple lose all their money following a series of blunders, they turn to a life of crime to make ends meet.","English, Spanish",USA,7 nominations.,https://m.media-amazon.com/images/M/MV5BYTJiMWFiNzgtMDQxZi00NTFiLWE2YjMtNTA5NzY5YzQxZjNjXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,47,6.2,"131,002",tt0369441,movie,N/A,N/A,N/A,N/A,True,6.2/10,28%,47/100,,,,
0,The Ring,2002,PG-13,18 Oct 2002,115 min,"Horror, Mystery",Gore Verbinski,"Ehren Kruger (screenplay), Kôji Suzuki (novel)","Naomi Watts, Martin Henderson, David Dorfman, Brian Cox",A journalist must investigate a mysterious videotape which seems to cause the death of anyone one week to the day after they view it.,English,USA,14 wins & 12 nominations.,https://m.media-amazon.com/images/M/MV5BNDA2NTg2NjE4Ml5BMl5BanBnXkFtZTYwMjYxMDg5._V1_SX300.jpg,57,7.1,"311,118",tt0298130,movie,N/A,N/A,N/A,N/A,True,7.1/10,71%,57/100,,,,
0,Casanova,2005,R,06 Jan 2006,112 min,"Adventure, Comedy, Drama, Romance",Lasse Hallström,"Jeffrey Hatcher (screenplay), Kimberly Simi (screenplay), Kimberly Simi (story), Michael Cristofer (story)","Heath Ledger, Sienna Miller, Jeremy Irons, Oliver Platt","The fabled romantic Giacomo Casanova, after failing to win the affection of the Venetian woman Francesca Bruni, strives to discover the real meaning of love.",English,USA,5 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BZTM2MGFmMjctM2EyNi00MmI4LTkyYjItMDhjZWQ4MjUyNGJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,57,6.5,"50,743",tt0402894,movie,N/A,N/A,N/A,N/A,True,6.5/10,43%,57/100,,,,
0,Mrs Henderson Presents,2005,R,17 Feb 2006,103 min,"Comedy, Drama, Music, War",Stephen Frears,"David Rose (idea), Kathy Rose (idea), Martin Sherman, Sheila van Damm (book)","Judi Dench, Bob Hoskins, Will Young, Christopher Guest","Laura Henderson (Dame Judi Dench) buys an old London theater and opens it up as the Windmill, a performance hall which goes down in history for, amongst other things, its all-nude revues.",English,"UK, USA",Nominated for 2 Oscars. Another 7 wins & 31 nominations.,https://m.media-amazon.com/images/M/MV5BZDNlZjFlZWItMGRkNy00ZGE0LTk2OGEtNjdmOTM5NDIzMzNmXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,71,7.0,"14,758",tt0413015,movie,N/A,N/A,N/A,N/A,True,7.0/10,67%,71/100,,,,
0,The White Countess,2005,PG-13,31 Mar 2006,135 min,"Drama, History, Romance, War",James Ivory,Kazuo Ishiguro (original screenplay),"Natasha Richardson, Lynn Redgrave, Madeleine Potter, Madeleine Daly","Set in 1930s Shanghai, where a blind American diplomat develops a curious relationship with a young Russian refugee who works odd -- and sometimes illicit -- jobs to support members of her dead husband's aristocratic family.","English, French, Mandarin, Russian","UK, Germany, China, USA",2 nominations.,https://m.media-amazon.com/images/M/MV5BMzMzMDgxNzQ4MV5BMl5BanBnXkFtZTcwMTczNjEzMQ@@._V1_SX300.jpg,60,6.6,"5,919",tt0384686,movie,16 May 2006,"$1,641,467",Sony Pictures Classics,N/A,True,6.6/10,49%,60/100,,,,
