,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Internet Movie Database,Rotten Tomatoes,Metacritic,totalSeasons,Season,Episode,seriesID
0,Natural Born Killers,1994,R,26 Aug 1994,118 min,"Action, Crime, Drama",Oliver Stone,"Quentin Tarantino (story), David Veloz (screenplay), Richard Rutowski (screenplay), Oliver Stone (screenplay)","Woody Harrelson, Juliette Lewis, Tom Sizemore, Rodney Dangerfield",Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,"English, Navajo, Japanese",USA,Nominated for 1 Golden Globe. Another 5 wins & 9 nominations.,https://m.media-amazon.com/images/M/MV5BMTI2NTU2Nzc0MV5BMl5BanBnXkFtZTcwMzY1OTM2MQ@@._V1_SX300.jpg,74,7.3,"210,566",tt0110632,movie,N/A,N/A,N/A,N/A,True,7.3/10,46%,74/100,,,,
0,The Naked Kiss,1964,Not Rated,29 Jul 1964,90 min,"Crime, Drama",Samuel Fuller,Samuel Fuller,"Karen Conrad, Marie Devereux, Betty Bronson, Patsy Kelly","Kelly, a prostitute, traumatised by an experience, referred to as 'The Naked Kiss,' by psychiatrists, leaves her past, and finds solace in the town of Grantville. She meets Griff, the ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYTFiMTc0NWItODM2Mi00MTMyLWI4MTktMjMyZTIzY2U0N2YxXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,N/A,7.3,"6,543",tt0058390,movie,N/A,N/A,N/A,N/A,True,7.3/10,93%,,,,,
0,Onibaba,1964,Not Rated,04 Feb 1965,103 min,"Drama, Horror",Kaneto Shindô,Kaneto Shindô,"Nobuko Otowa, Jitsuko Yoshimura, Kei Satô, Jûkichi Uno","Two women kill samurai and sell their belongings for a living. While one of them is having an affair with their neighbor, the other woman meets a mysterious samurai wearing a bizarre mask.",Japanese,Japan,2 wins.,https://m.media-amazon.com/images/M/MV5BMWRiYmNmNTEtM2FlNC00ODRlLWFiMmQtYmNlNzgxY2MzMzNkL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,N/A,8.0,"14,699",tt0058430,movie,16 Mar 2004,N/A,Toho Company Ltd.,N/A,True,8.0/10,83%,,,,,
0,Robin and the 7 Hoods,1964,Approved,24 Jun 1964,123 min,"Comedy, Crime, Musical",Gordon Douglas,David R. Schwartz,"Frank Sinatra, Dean Martin, Sammy Davis Jr., Bing Crosby","In Chicago, during the Prohibition, two rival gangs compete for control of the city's rackets.",English,USA,Nominated for 2 Oscars. Another 4 nominations.,https://m.media-amazon.com/images/M/MV5BMTM5ZDEwMzQtNDYwZC00ZDFhLWFlMTMtMWE4YzJmNmM0MmU2XkEyXkFqcGdeQXVyNDQzMDg4Nzk@._V1_SX300.jpg,N/A,6.5,"4,392",tt0058529,movie,N/A,N/A,N/A,N/A,True,6.5/10,44%,,,,,
0,Robinson Crusoe on Mars,1964,Not Rated,01 Jun 1964,110 min,"Adventure, Sci-Fi",Byron Haskin,"Ib Melchior (screenplay), John C. Higgins (screenplay), Daniel Defoe (based on a story by)","Paul Mantee, Victor Lundin, Adam West, The Woolly Monkey","Stranded on Mars with only a monkey as a companion, an astronaut must figure out how to find oxygen, water, and food on the lifeless planet.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOGMyNGE0ZTktNWY5OC00NWUzLTlmMDgtMDYzZDc2MjcwNGExXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,6.5,"5,732",tt0058530,movie,18 Sep 2007,N/A,Paramount Pictures,N/A,True,6.5/10,94%,,,,,
0,What a Way to Go!,1964,Approved,26 Jun 1964,111 min,"Comedy, Romance",J. Lee Thompson,"Gwen Davis (story), Betty Comden (screenplay), Adolph Green (screenplay)","Shirley MacLaine, Paul Newman, Robert Mitchum, Dean Martin","A four-time widow discusses her four marriages, in which all of her husbands became incredibly rich and died prematurely because of their drive to be rich.","English, French",USA,Nominated for 2 Oscars. Another 1 win & 5 nominations.,https://m.media-amazon.com/images/M/MV5BOTE4MTI0MTQtNjEzZS00YTk4LTkwNzktYzE1YTZlMDc1ODcwXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,N/A,7.0,"3,868",tt0058743,movie,N/A,N/A,N/A,N/A,True,7.0/10,22%,,,,,
0,The Battle of Algiers,1966,Not Rated,20 Sep 1967,121 min,"Drama, War",Gillo Pontecorvo,"Franco Solinas, Franco Solinas (story), Gillo Pontecorvo (story)","Brahim Hadjadj, Jean Martin, Yacef Saadi, Samia Kerbash","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.","Arabic, French, English","Algeria, Italy",Nominated for 3 Oscars. Another 9 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BZWEzMGY4OTQtYTdmMy00M2QwLTliYTQtYWUzYzc3OTA5YzIwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,96,8.1,"50,042",tt0058946,movie,N/A,N/A,N/A,N/A,True,8.1/10,99%,96/100,,,,
0,A Charlie Brown Christmas,1965,TV-G,09 Dec 1965,25 min,"Animation, Comedy, Family",Bill Melendez,Charles M. Schulz,"Ann Altieri, Chris Doran, Sally Dryer, Bill Melendez","Depressed at the commercialism he sees around him, Charlie Brown tries to find a deeper meaning to Christmas.",English,USA,Won 1 Primetime Emmy. Another 1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ1NDQxNTcxN15BMl5BanBnXkFtZTgwNzY1Njc1MzE@._V1_SX300.jpg,N/A,8.3,"30,120",tt0059026,movie,N/A,N/A,N/A,N/A,True,8.3/10,94%,,,,,
0,Dracula: Prince of Darkness,1966,Unrated,12 Jan 1966,90 min,Horror,Terence Fisher,"Jimmy Sangster (screenplay), Anthony Hinds (from an idea by), Bram Stoker (based on characters created by)","Christopher Lee, Barbara Shelley, Andrew Keir, Francis Matthews","Dracula is resurrected, preying on four unsuspecting visitors to his castle.",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BZDZiNWEzNTgtMDNkYS00YWY3LTg3ZmUtZDllMDFhZDUwYjIwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,6.8,"8,473",tt0059127,movie,N/A,N/A,N/A,N/A,True,6.8/10,80%,,,,,
0,The Hallelujah Trail,1965,Approved,23 Jun 1965,165 min,"Comedy, Western",John Sturges,"William Gulick (novel), John Gay (screenplay)","Burt Lancaster, Lee Remick, Jim Hutton, Pamela Tiffin","On its way to Denver, a cargo of whiskey destined for the miners, is sought after by the Temperance League, the U.S. Cavalry, the local Indians and the miners themselves.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTExMTgyMDUwNDdeQTJeQWpwZ15BbWU3MDAwOTI5MzQ@._V1_SX300.jpg,N/A,6.6,"3,207",tt0059250,movie,N/A,N/A,N/A,N/A,True,6.6/10,40%,,,,,
