,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Internet Movie Database,Rotten Tomatoes,Metacritic,totalSeasons
0,The Mask of Zorro,1998,PG-13,17 Jul 1998,136 min,"Action, Adventure, Comedy, Romance, Thriller, Western",Martin Campbell,"Johnston McCulley (character Zorro), Ted Elliott (story), Terry Rossio (story), Randall Jahnson (story), John Eskow (screenplay), Ted Elliott (screenplay), Terry Rossio (screenplay)","José María de Tavira, Diego Sieres, Emiliano Guerra, Yolanda Orizaga","A young thief, seeking revenge for the death of his brother, is trained by the once great, but aged Zorro, who also pursues vengeance of his own.",English,"USA, Germany, Mexico",Nominated for 2 Oscars. Another 9 wins & 16 nominations.,https://m.media-amazon.com/images/M/MV5BMzg4ZjQ4OGUtZjkxMi00Y2I2LWEzNTAtODI2ZjkxMGVjNTQwXkEyXkFqcGdeQXVyNjgxNTAwNjQ@._V1_SX300.jpg,63,6.7,"163,962",tt0120746,movie,N/A,N/A,N/A,N/A,True,6.7/10,82%,63/100,
0,Polish Wedding,1998,PG-13,17 Jul 1998,105 min,"Comedy, Drama, Romance",Theresa Connelly,Theresa Connelly,"Claire Danes, Jon Bradford, Lena Olin, Ramsey Krull","The film centers on a big Polish family. Jadzia is the mother and the ruler of the Pzoniak family (she has five children). Though she's happily married to Bolek, she is also having a ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTI2NTk0MzI1Nl5BMl5BanBnXkFtZTYwMzU4NjY5._V1_SX300.jpg,N/A,5.6,"3,003",tt0119910,movie,N/A,N/A,N/A,N/A,True,5.6/10,42%,,
0,"This World, Then the Fireworks",1997,R,11 Jul 1997,100 min,"Crime, Drama",Michael Oblowitz,"Jim Thompson (story), Larry Gross (screenplay)","Philip Loch, Elis Imboden, Christian Durango, Sloan Cobb","In 1950s, two incestuous lovers, a depraved suave journalist and his equally depraved prostitute sister, plan to get rich through seduction and murder. Things complicate when their feeble-minded mother begins to suspect something.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BN2MxYWFkMjQtMWI2NS00N2ZkLWFjYTItOGQ5NTYzN2NkOGJlXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,N/A,5.3,"1,068",tt0117898,movie,N/A,N/A,N/A,N/A,True,5.3/10,43%,,
0,Soylent Green,1973,PG,09 May 1973,97 min,"Crime, Mystery, Sci-Fi, Thriller",Richard Fleischer,"Stanley R. Greenberg (screenplay), Harry Harrison (novel)","Charlton Heston, Leigh Taylor-Young, Chuck Connors, Joseph Cotten","In the world ravaged by the greenhouse effect and overpopulation, an NYPD detective investigates the murder of a big company CEO.","English, Spanish",USA,3 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNGY4ZjVlNDQtNGY0Yi00ZGU2LTlmOTktZjI1MjFkNThhZDA0XkEyXkFqcGdeQXVyMTA1NTM1NDI2._V1_SX300.jpg,66,7.1,"55,360",tt0070723,movie,N/A,N/A,N/A,N/A,True,7.1/10,71%,66/100,
0,Metropolis,1927,Not Rated,13 Mar 1927,153 min,"Drama, Sci-Fi",Fritz Lang,"Thea von Harbou (screenplay), Thea von Harbou (novel)","Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",German,Germany,6 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BMTg5YWIyMWUtZDY5My00Zjc1LTljOTctYmI0MWRmY2M2NmRkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,98,8.3,"153,310",tt0017136,movie,N/A,N/A,N/A,N/A,True,8.3/10,97%,98/100,
0,Back to the Future Part II,1989,PG,22 Nov 1989,108 min,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,"Robert Zemeckis (characters), Bob Gale (characters), Robert Zemeckis (story), Bob Gale (story), Bob Gale (screenplay)","Michael J. Fox, Christopher Lloyd, Lea Thompson, Thomas F. Wilson","After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.",English,USA,Nominated for 1 Oscar. Another 9 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BZTMxMGM5MjItNDJhNy00MWI2LWJlZWMtOWFhMjI5ZTQwMWM3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,57,7.8,"459,361",tt0096874,movie,N/A,N/A,N/A,N/A,True,7.8/10,65%,57/100,
0,Back to the Future Part III,1990,PG,25 May 1990,118 min,"Adventure, Comedy, Sci-Fi, Western",Robert Zemeckis,"Robert Zemeckis (characters), Bob Gale (characters), Robert Zemeckis (story), Bob Gale (story), Bob Gale (screenplay)","Michael J. Fox, Christopher Lloyd, Mary Steenburgen, Thomas F. Wilson","Stranded in 1955, Marty McFly learns about the death of Doc Brown in 1885 and must travel back in time to save him. With no fuel readily available for the DeLorean, the two must figure how to escape the Old West before Emmett is murdered.",English,USA,5 wins & 11 nominations.,https://m.media-amazon.com/images/M/MV5BYjhlMGYxNmMtOWFmMi00Y2M2LWE5NWYtZTdlMDRlMGEzMDA3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,55,7.4,"387,250",tt0099088,movie,N/A,N/A,N/A,N/A,True,7.4/10,80%,55/100,
0,The Poseidon Adventure,1972,PG,13 Dec 1972,117 min,"Action, Adventure, Drama, Thriller",Ronald Neame,"Paul Gallico (novel), Stirling Silliphant (screenplay by), Wendell Mayes (screenplay by)","Gene Hackman, Ernest Borgnine, Red Buttons, Carol Lynley",Nine people explore a cruise ship at sea in a manner that turns their whole lives upside down.,"English, Hebrew",USA,Won 1 Oscar. Another 4 wins & 13 nominations.,https://m.media-amazon.com/images/M/MV5BYmM0ZDRkZGEtNTFmNS00MDg1LThkNWItZmU1NmM1OGM0NTU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,70,7.1,"39,430",tt0069113,movie,N/A,N/A,N/A,N/A,True,7.1/10,79%,70/100,
0,Freaky Friday,2003,PG,06 Aug 2003,97 min,"Comedy, Family, Fantasy, Music, Romance",Mark Waters,"Mary Rodgers (novel), Heather Hach (screenplay), Leslie Dixon (screenplay)","Jamie Lee Curtis, Lindsay Lohan, Mark Harmon, Harold Gould","An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.","English, Mandarin",USA,Nominated for 1 Golden Globe. Another 5 wins & 10 nominations.,https://m.media-amazon.com/images/M/MV5BYmU4NTk4OWYtMjE4My00MGVkLTgwY2EtZTZjN2YyOGFiMDQ0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,70,6.1,"121,040",tt0322330,movie,N/A,N/A,N/A,N/A,True,6.1/10,88%,70/100,
0,The Absent Minded Professor,1961,Approved,16 Mar 1961,92 min,"Comedy, Family, Sci-Fi, Sport",Robert Stevenson,"Bill Walsh (screenplay), Samuel W. Taylor (story)","Fred MacMurray, Nancy Olson, Keenan Wynn, Tommy Kirk",A college professor invents an anti-gravity substance which a corrupt businessman wants for himself.,English,USA,Nominated for 3 Oscars. Another 1 win & 5 nominations.,https://m.media-amazon.com/images/M/MV5BNjVjNmE3ZWMtMjRlMS00MGVjLWFkZGItZTQyOGVkYzg2MzVmXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,75,6.8,"6,856",tt0054594,movie,N/A,N/A,N/A,N/A,True,6.8/10,83%,75/100,
