,Actors,Awards,BoxOffice,Country,DVD,Director,Episode,Genre,Internet Movie Database,Language,Metacritic,Metascore,Plot,Poster,Production,Rated,Released,Response,Rotten Tomatoes,Runtime,Season,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,seriesID,totalSeasons
0,"Adrian Paul, Christopher Lambert, Bruce Payne, Lisa Barbuscia",1 nomination.,N/A,"UK, USA, Luxembourg",N/A,Douglas Aarniokoski,,"Action, Adventure, Fantasy, Sci-Fi",4.6/10,"English, French, Scottish Gaelic",21/100,21,"Immortals Connor and Duncan MacLeod must join forces against Kell, an evil immortal who has become too strong for anyone to face alone.",https://m.media-amazon.com/images/M/MV5BZWMyZDdhNDYtNWE5MS00N2Q5LThmYjMtOGMzZjFmOGIzMWQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,R,01 Sep 2000,True,11%,87 min,,Highlander: Endgame,movie,N/A,"Gregory Widen (characters), Eric Bernt (story), Gillian Horvath (story), William N. Panzer (story), Joel Soisson (screenplay)",2000,tt0144964,4.6,"18,989",,
0,"Kenny Wormald, Rachele Brooke Smith, Sarah Jayne Jensen, Nicole Muñoz",N/A,N/A,"USA, Canada",N/A,Steven Jacobson,,"Drama, Music, Romance",6.1/10,English,,N/A,A self-trained dancer from the streets of Detroit finds her way after auditioning for the most prestigious ballet academy in New York.,https://m.media-amazon.com/images/M/MV5BZjU0ZGQ2MTEtMWZkYy00MTFlLWFiNTgtN2RkYmNhMGQ4MDBkXkEyXkFqcGdeQXVyNjU2NTIzNDE@._V1_SX300.jpg,N/A,PG-13,01 Nov 2008,True,60%,95 min,,Center Stage: Turn It Up,movie,N/A,"Carol Heikkinen (based on characters created by), Karen Bloch Morse",2008,tt1145144,6.1,"5,733",,
0,"Ellen Pompeo, Chandra Wilson, James Pickens Jr., Justin Chambers",Won 2 Golden Globes. Another 73 wins & 221 nominations.,,USA,,N/A,,"Drama, Romance",7.6/10,"Greek, English",,N/A,A drama centered on the personal and professional lives of five surgical interns and their supervisors.,https://m.media-amazon.com/images/M/MV5BMjgwNGNkZGYtMWQyYS00YjEzLWFmZTctODUzYWMxOWJkNTAzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,,TV-14,27 Mar 2005,True,,41 min,,Grey's Anatomy,series,,Shonda Rhimes,2005–,tt0413573,7.6,"233,467",,16
0,"Morgan Freeman, Renée Zellweger, Chris Rock, Greg Kinnear",Won 1 Golden Globe. Another 4 wins & 14 nominations.,N/A,"Germany, USA",N/A,Neil LaBute,,"Comedy, Crime, Drama, Romance",6.1/10,"English, Spanish",69/100,69,Comedy about a widow's post-traumatic obsession with a soap star.,https://m.media-amazon.com/images/M/MV5BYjU2OGVhYjgtYWE3Zi00MzM5LWEwYjgtYjQxNzkxNzhhZGFjXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,N/A,R,08 Sep 2000,True,83%,110 min,,Nurse Betty,movie,N/A,"John C. Richards (story), John C. Richards (screenplay), James Flamberg (screenplay)",2000,tt0171580,6.1,"32,429",,
0,"María Galiana, Ana Fernández, Carlos Álvarez-Nóvoa, Antonio Dechent",41 wins & 16 nominations.,N/A,"Spain, Canada",N/A,Benito Zambrano,,Drama,7.7/10,Spanish,75/100,75,"Maria, whose parents live in the country, cannot stand her father's authoritarian ways and moves to the city. She finds a job as a cleaner and tries to survive in a wretched apartment in ...",https://m.media-amazon.com/images/M/MV5BMTY4NzU2NzAyMF5BMl5BanBnXkFtZTcwNjI4NDQyMQ@@._V1_SX300.jpg,N/A,R,05 Mar 1999,True,90%,101 min,,Solas,movie,N/A,Benito Zambrano,1999,tt0190798,7.7,"2,981",,
0,"James Spader, Marisa Tomei, Keanu Reeves, Ernie Hudson",1 nomination.,N/A,USA,N/A,Joe Charbanic,,"Crime, Drama, Mystery, Thriller",5.3/10,"English, Vietnamese",22/100,22,David is a serial killer of young women. Joel was in charge of catching him in LA. He moved to Chicago a broken man. So did David and sends him photos of his next victims 24 hours before the murders.,https://m.media-amazon.com/images/M/MV5BNDg5ZjM5NmQtZGZiNC00MDBmLWE2YWQtMWE2NjE4MTljZGJkL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,R,08 Sep 2000,True,10%,97 min,,The Watcher,movie,N/A,"Darcy Meyers (story), David Elliot (story), David Elliot (screenplay), Clay Ayers (screenplay)",2000,tt0204626,5.3,"24,907",,
0,"Ryan Phillippe, Benicio Del Toro, Juliette Lewis, Taye Diggs",N/A,N/A,USA,N/A,Christopher McQuarrie,,"Action, Crime, Drama, Thriller",6.7/10,"English, Spanish",49/100,49,Two criminal drifters without sympathy get more than they bargained for after kidnapping and holding for ransom the surrogate mother of a powerful and shady man.,https://m.media-amazon.com/images/M/MV5BMTAyNjEyMDEwMzBeQTJeQWpwZ15BbWU4MDczMjY1NDEy._V1_SX300.jpg,N/A,R,08 Sep 2000,True,45%,119 min,,The Way of the Gun,movie,N/A,Christopher McQuarrie,2000,tt0202677,6.7,"31,133",,
0,"Billy Crudup, Frances McDormand, Kate Hudson, Jason Lee",Won 1 Oscar. Another 52 wins & 103 nominations.,N/A,USA,N/A,Cameron Crowe,,"Adventure, Comedy, Drama, Music",7.9/10,"English, French",90/100,90,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,https://m.media-amazon.com/images/M/MV5BMzY1ZjMwMGEtYTY1ZS00ZDllLTk0ZmUtYzA3ZTA4NmYwNGNkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,N/A,R,22 Sep 2000,True,89%,122 min,,Almost Famous,movie,N/A,Cameron Crowe,2000,tt0181875,7.9,"243,109",,
0,"Jamie Foxx, David Morse, Robert Pastorelli, Doug Hutchison",N/A,N/A,"Canada, USA",N/A,Antoine Fuqua,,"Action, Comedy, Crime, Thriller",5.8/10,English,39/100,39,An ex-con is used by police to lure a criminal out of hiding.,https://m.media-amazon.com/images/M/MV5BMTc2NzM2MjY1OV5BMl5BanBnXkFtZTYwMTkyNjc3._V1_SX300.jpg,N/A,R,15 Sep 2000,True,26%,119 min,,Bait,movie,N/A,"Andrew Scheinman, Adam Scheinman, Tony Gilroy",2000,tt0211938,5.8,"10,327",,
0,"Al Ernest Garcia, Merna Kennedy, Harry Crocker, George Davis",1 win & 3 nominations.,N/A,USA,N/A,Charles Chaplin,,"Comedy, Romance",8.2/10,English,90/100,90,The Tramp finds work and the girl of his dreams at a circus.,https://m.media-amazon.com/images/M/MV5BM2QwYWQ0MWMtNzcwOC00N2Q2LWE1MDEtZmQxZjhiM2U1YzFhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,Passed,29 Jan 1928,True,96%,72 min,,The Circus,movie,N/A,Charles Chaplin,1928,tt0018773,8.2,"24,644",,
