,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Internet Movie Database,Rotten Tomatoes,Metacritic,totalSeasons,Season,Episode,seriesID
0,Woodstock,1970,R,26 Mar 1970,184 min,"Documentary, History, Music",Michael Wadleigh,N/A,"Richie Havens, Joan Baez, The Who, Sha-Na-Na",The film chronicle of the legendary 1969 music festival.,English,USA,Won 1 Oscar. Another 1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BZjBiMDMzYzktOGMzOC00NzczLWE3YmYtZTgwNGIwZDRkYTE4XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,95,8.2,"15,514",tt0066580,movie,N/A,N/A,N/A,N/A,True,8.2/10,100%,95/100,,,,
0,36 fillette,1988,N/A,06 Jan 1989,88 min,"Romance, Drama",Catherine Breillat,"Catherine Breillat (scenario), Catherine Breillat (novel), Roger Salloch (adaptation)","Delphine Zentout, Etienne Chicot, Olivier Parnière, Jean-Pierre Léaud","A night in the life of a young woman who wishes to learn and experience more of life. The men she meets have as much to learn from her as they can offer her, or more.",French,France,1 nomination.,https://m.media-amazon.com/images/M/MV5BM2ZlNjRjZDUtY2Q4MC00YjgzLWFkMTktYjZkMTdhOTU1Y2NlXkEyXkFqcGdeQXVyMjc2NTQ1MTI@._V1_SX300.jpg,N/A,5.9,"1,026",tt0094596,movie,N/A,N/A,N/A,N/A,True,5.9/10,86%,,,,,
0,The Internecine Project,1974,PG,24 Jul 1974,89 min,"Action, Thriller",Ken Hughes,"Barry Levinson (screenplay), Jonathan Lynn (screenplay), Mort W. Elkind (from ""Internecine"" by)","James Coburn, Lee Grant, Harry Andrews, Ian Hendry",A retired agent devises a cunning plan to eliminate those who know too much about his past.,English,"UK, West Germany, USA",N/A,https://m.media-amazon.com/images/M/MV5BZjY5ZWVjMDYtMjM4NS00NTBhLWFlM2QtMzg1YmI0YzJiNzQ0XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,N/A,6.2,642,tt0071663,movie,N/A,N/A,N/A,N/A,True,6.2/10,,,,,,
0,Crazy Love,2007,PG-13,01 Jun 2007,92 min,"Documentary, Romance","Dan Klores, Fisher Stevens(co-director)",Dan Klores,"Bob Janoff, Burt Pugach, Linda Pugach, Sylvia Hoffman",The bizarre true story of Linda Riss and Burt Pugach.,English,USA,5 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BMTUyNjcwMTYwOV5BMl5BanBnXkFtZTcwMTA4OTc0MQ@@._V1_SX300.jpg,69,7.0,"2,315",tt0790706,movie,16 Oct 2007,"$161,978",ThinkFilm,N/A,True,7.0/10,79%,69/100,,,,
0,Gunga Din,1939,Approved,17 Feb 1939,117 min,"Adventure, Comedy, War",George Stevens,"Joel Sayre (screen play), Fred Guiol (screen play), Ben Hecht (story), Charles MacArthur (story), Rudyard Kipling (poem)","Cary Grant, Victor McLaglen, Douglas Fairbanks Jr., Sam Jaffe","In 19th century India, three British soldiers and a native waterbearer must stop a secret mass revival of the murderous Thuggee cult before it can rampage across the land.",English,USA,Nominated for 1 Oscar. Another 1 win.,https://m.media-amazon.com/images/M/MV5BNWMzZGEzYjUtNjZiNS00ZjJlLWEwYjMtYTRhOTA3NTMyNGYyXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,N/A,7.4,"10,508",tt0031398,movie,N/A,N/A,N/A,N/A,True,7.4/10,92%,,,,,
0,Children of Dune,2003–,Unrated,16 Mar 2003,266 min,"Adventure, Drama, Fantasy, Sci-Fi",N/A,N/A,"Alec Newman, Julie Cox, Ian McNeice, Steven Berkoff","The twins of Paul ""Muad'dib"" Atreides become embroiled in the political landscape of Arrakis (""Dune"") and the rest of the universe.","English, French","Germany, USA",Won 1 Primetime Emmy. Another 8 nominations.,https://m.media-amazon.com/images/M/MV5BMTI3ODIwMTQ5OF5BMl5BanBnXkFtZTYwNTkwNDk5._V1_SX300.jpg,N/A,7.5,"11,648",tt0287839,series,,,,,True,7.5/10,,,1,,,
0,Dune,1984,PG-13,14 Dec 1984,137 min,"Action, Adventure, Sci-Fi",David Lynch,"Frank Herbert (novel), David Lynch (screenplay)","Francesca Annis, Leonardo Cimino, Brad Dourif, José Ferrer",A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis when they assassinate his father and free their desert world from the emperor's rule.,English,"USA, Mexico",Nominated for 1 Oscar. Another 2 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BYTAzYzNlMDMtMGRjYS00M2UxLTk0MmEtYmE4YWZiYmEwOTIwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,40,6.5,"118,326",tt0087182,movie,N/A,N/A,N/A,N/A,True,6.5/10,52%,40/100,,,,
0,Lammbock,2001,Not Rated,23 Aug 2001,93 min,Comedy,Christian Zübert,Christian Zübert,"Lucas Gregorowicz, Moritz Bleibtreu, Marie Zielcke, Julian Weigend","Stefan and Kai have good going business, self-grown cannabis screened as pizza delivering service. For now they only have to deal with aphids.",German,Germany,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTI3Mzk0MDIxMF5BMl5BanBnXkFtZTcwMTUxNTQyMQ@@._V1_SX300.jpg,N/A,7.3,"10,393",tt0258760,movie,N/A,N/A,N/A,N/A,True,7.3/10,,,,,,
0,The Legend,1993,R,04 Mar 1993,100 min,"Action, Comedy, History",Corey Yuen,"Kin Chung Chan, Susan Godfrey (english adaptation), Jeffrey Lau, Jack Maeby (english adaptation), Kevin Tsai","Jet Li, Josephine Siao, Michelle Reis, Wenzhuo Zhao",This Hong Kong martial-arts extravaganza tells of evil emperors and true love. The secret Red Lotus Flower Society is committed to the overthrow of the evil Manchu Emperor and his minions. ...,Cantonese,Hong Kong,3 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BYzU0OTY5NDYtMjJlMC00MzE4LWI4N2EtZjBhOGRhMGNkYzIzXkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_SX300.jpg,N/A,7.2,"7,137",tt0106936,movie,N/A,N/A,N/A,N/A,True,7.2/10,89%,,,,,
0,Tremors II: Aftershocks,1996,PG-13,09 Apr 1996,100 min,"Action, Comedy, Horror, Sci-Fi, Thriller",S.S. Wilson,"Brent Maddock (characters), S.S. Wilson (characters), Ron Underwood (characters), Brent Maddock, S.S. Wilson","Fred Ward, Chris Gartin, Helen Shaver, Michael Gross","Earl Bassett, now a washed-up ex-celebrity, is hired by a Mexican oil company to eradicate a Graboid epidemic that's killing more people each day. However, the humans aren't the only one with a new battle plan.","English, Spanish",USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BNWI0MjY1NjgtYzI0MS00Yzg4LWIyNzgtZmY4YmJmOTNjYTg4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,6.0,"25,166",tt0114720,movie,N/A,N/A,N/A,N/A,True,6.0/10,63%,,,,,
